Project: Evolutionary Intensity Measures for More Accurate and Informative Liquefaction Hazard Evaluation,,,,
Exp9: 33 to 55% Relative Density Cyclic Simple Shear Tests under Transient Loadings,,,,
Operator: Wing Shun Kwan,,,,
Date: 2013-02-09,,,,
,,,,
Time [sec],Shear Strain [%],Shear Stress [kPa],Effective Vertical Stress [kPa],Excess Pore Pressure [kPa]
0.001,0,0.563923141,99.83816714,0
0.013,0,0.563923141,99.84435565,-0.1
0.026,-0.000856924,0.530966594,99.80246627,0
0.038,-0.000856924,0.530966594,99.80865477,-0.1
0.051,-0.000856924,0.498010047,99.79627776,0.1
0.064,-0.000856924,0.498010047,99.80865477,-0.1
0.076,-0.000856924,0.498010047,99.79627776,0.1
0.089,-0.000856924,0.498010047,99.80865477,-0.1
0.102,-0.000856924,0.530966594,99.79627776,0.1
0.115,-0.000856924,0.530966594,99.80865477,-0.1
0.127,-0.000856924,0.530966594,99.79627776,0.1
0.14,-0.000856924,0.530966594,99.84435565,-0.1
0.153,-0.000856924,0.530966594,99.79627776,0.1
0.165,-0.000856924,0.530966594,99.80246627,0
0.178,-0.000856924,0.530966594,99.80246627,0
0.191,-0.000856924,0.530966594,99.83816714,0
0.203,-0.000856924,0.530966594,99.83816714,0
0.216,-0.000856924,0.530966594,99.83816714,0
0.229,-0.000856924,0.563923141,99.80246627,0
0.242,-0.000856924,0.530966594,99.80246627,0
0.254,-0.000856924,0.530966594,99.80246627,0
0.267,-0.000856924,0.530966594,99.80246627,0
0.28,-0.000856924,0.530966594,99.80865477,-0.1
0.292,-0.000856924,0.530966594,99.80246627,0
0.305,-0.000856924,0.530966594,99.80865477,-0.1
0.318,-0.000856924,0.530966594,99.80246627,0
0.33,-0.000856924,0.530966594,99.80246627,0
0.343,-0.000856924,0.530966594,99.79627776,0.1
0.356,-0.000856924,0.530966594,99.80246627,0
0.369,-0.000856924,0.530966594,99.80246627,0
0.381,-0.000856924,0.530966594,99.80246627,0
0.394,-0.000856924,0.530966594,99.80246627,0
0.407,-0.000856924,0.498010047,99.80246627,0
0.419,-0.000856924,0.498010047,99.80246627,0
0.432,-0.000856924,0.498010047,99.80246627,0
0.445,-0.000856924,0.498010047,99.80246627,0
0.458,-0.000856924,0.530966594,99.80246627,0
0.47,-0.000856924,0.530966594,99.80246627,0
0.483,-0.000856924,0.530966594,99.80246627,0
0.496,-0.000856924,0.530966594,99.80246627,0
0.508,-0.000856924,0.498010047,99.80246627,0
0.521,-0.000856924,0.498010047,99.80246627,0
0.534,-0.000856924,0.498010047,99.80246627,0
0.546,-0.000856924,0.498010047,99.80246627,0
0.559,-0.000856924,0.498010047,99.80246627,0
0.572,-0.000856924,0.498010047,99.79627776,0.1
0.585,-0.000856924,0.498010047,99.80246627,0
0.597,-0.000856924,0.498010047,99.80246627,0
0.61,-0.000856924,0.498010047,99.80865477,-0.1
0.623,-0.001285386,0.498010047,99.80246627,0
0.635,-0.000856924,0.498010047,99.80865477,-0.1
0.648,-0.000856924,0.498010047,99.80246627,0
0.661,-0.000856924,0.530966594,99.90246627,-0.1
0.673,-0.000856924,0.530966594,99.80246627,0
0.686,-0.000856924,0.530966594,99.80246627,0
0.699,-0.000856924,0.530966594,99.80246627,0
0.712,-0.000856924,0.530966594,99.80246627,0
0.724,-0.000856924,0.530966594,99.80246627,0
